nbJobs = 5;
nbMchs = 5;

p = [
[4.45, 6.14, 7.82, 6.14, 7.82],
[0.0, 7.67, 7.14, 7.14, 7.14],
[7.04, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 6.19, 0.0, 5.64],
[6.1, 3.57, 5.83, 3.57, 0.0],
];

q = [
[
[0.0, 7.63, 8.72, 7.63, 8.72],
[4.13, 0.0, 3.64, 4.13, 3.64],
[4.13, 4.13, 0.0, 4.13, 3.64],
[4.13, 4.13, 3.64, 0.0, 3.64],
[4.13, 4.13, 3.64, 4.13, 0.0],
],
[
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 6.78, 6.78, 6.78],
[0.0, 3.29, 0.0, 3.29, 3.29],
[0.0, 3.29, 3.29, 0.0, 3.29],
[0.0, 3.29, 3.29, 3.29, 0.0],
],
[
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0],
[7.84, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0],
],
[
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 4.33],
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.38, 0.0, 0.0],
],
[
[0.0, 3.44, 2.45, 3.44, 0.0],
[2.45, 0.0, 2.45, 3.44, 0.0],
[8.29, 0.0, 0.0, 0.0, 0.0],
[2.45, 3.44, 2.45, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0],
],
];

init = [
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 8.16, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 5.83, 0.0, 0.0, 0.0],
];

oj = [
3, 3, 4, 4, 3];

oi = [
5, 4, 2, 2, 4];

max_oj = 4;

Ops = [
[<4,6.1>, <0,4.45>, <2,7.04>, <-1,-1>],
[<4,3.57>, <0,6.14>, <1,7.67>, <-1,-1>],
[<0,7.82>, <1,7.14>, <3,6.19>, <4,5.83>, ],
[<2,0.0>, <4,3.57>, <0,6.14>, <1,7.14>, ],
[<0,7.82>, <1,7.14>, <3,5.64>, <-1,-1>],
];

J = [
[0, 1, 2, 3, 4],
[1, 2, 3, 4, -1],
[0, 3, -1, -1, -1],
[2, 4, -1, -1, -1],
[0, 1, 2, 3, -1],
];

