nbJobs = 8;
nbMchs = 8;

p = [
[6.19, 0.8, 0.0, 0.0, 0.0, 0.0, 1.34, 0.0],
[8.5, 0.0, 8.5, 0.0, 0.0, 1.51, 0.0, 0.0],
[5.13, 1.09, 5.13, 3.49, 0.0, 5.13, 0.0, 5.13],
[3.29, 1.1, 0.47, 3.29, 0.0, 8.89, 0.0, 1.49],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.34],
[0.0, 0.0, 0.0, 0.0, 2.03, 0.0, 0.0, 0.0],
[0.0, 6.33, 0.0, 0.0, 7.51, 0.0, 0.0, 0.0],
[0.0, 6.8, 0.0, 0.0, 6.8, 0.0, 6.8, 0.0],
];

q = [
[
[0.0, 3.14, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0],
[3.3, 0.0, 0.0, 0.0, 0.0, 0.0, 7.66, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[3.3, 7.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
],
[
[0.0, 0.0, 6.18, 0.0, 0.0, 5.63, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[6.18, 0.0, 0.0, 0.0, 0.0, 5.63, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[3.73, 0.0, 3.73, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
],
[
[0.0, 0.52, 5.62, 7.76, 0.0, 5.62, 0.0, 5.62],
[8.45, 0.0, 8.45, 0.5, 0.0, 8.45, 0.0, 8.45],
